"result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_018","density_x","numeric","371.26614481409","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_018","density_y","numeric","0.000343026948429765","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_019","density_x","numeric","392.281800391389","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_019","density_y","numeric","0.000336578215334082","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_020","density_x","numeric","413.297455968689","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_020","density_y","numeric","0.000329760278897913","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_021","density_x","numeric","434.313111545988","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_021","density_y","numeric","0.000322821014919288","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_022","density_x","numeric","455.328767123288","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_022","density_y","numeric","0.000316059623148231","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_023","density_x","numeric","476.344422700587","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_023","density_y","numeric","0.000309765422050809","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_024","density_x","numeric","497.360078277886","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_024","density_y","numeric","0.000304157719777964","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_025","density_x","numeric","518.375733855186","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_025","density_y","numeric","0.000299341398379526","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_026","density_x","numeric","539.391389432485","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_026","density_y","numeric","0.00029528831541124","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_027","density_x","numeric","560.407045009785","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_027","density_y","numeric","0.000291847977324952","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_028","density_x","numeric","581.422700587084","overall","overall"
"2","cdm_gold_202512","observation_period_ordinal","all","overall","overall","Duration in days","density_028","density_y","numeric","0.000288783827937286","overall","overall"
